City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
169,Okakarara,NA,2022-09-20 16:08:13,-20.5833,17.4333,76.19,10,0,5.61
170,Bethel,US,2022-09-20 16:08:14,41.3712,-73.414,75.63,66,40,4.0
171,Beringovskiy,RU,2022-09-20 16:08:14,63.05,179.3167,38.48,78,3,11.01
172,Valparaiso,CL,2022-09-20 16:08:14,-33.0393,-71.6273,59.23,84,40,5.75
173,Havre-Saint-Pierre,CA,2022-09-20 16:08:15,50.2334,-63.5986,52.88,60,2,8.23
174,Mtimbira,TZ,2022-09-20 16:08:15,-8.7833,36.35,81.01,47,0,6.4
175,Popondetta,PG,2022-09-20 16:08:15,-8.7537,148.2534,73.09,86,81,2.75
176,Taltal,CL,2022-09-20 16:08:16,-25.4,-70.4833,60.44,61,0,10.11
177,Mount Gambier,AU,2022-09-20 16:08:16,-37.8333,140.7667,53.51,94,100,4.61
178,Bredasdorp,ZA,2022-09-20 16:08:17,-34.5322,20.0403,60.03,65,1,10.94
179,Poum,NC,2022-09-20 16:08:17,-20.2333,164.0167,74.88,78,2,7.56
180,Rongcheng,CN,2022-09-20 16:08:17,30.634,117.8517,65.46,72,99,4.38
181,Ilulissat,GL,2022-09-20 16:09:18,69.2167,-51.1,39.22,87,75,10.36
182,Bangassou,CF,2022-09-20 16:07:10,4.7413,22.8184,71.83,97,78,6.62
183,Buluang,PH,2022-09-20 16:09:18,13.3068,123.3425,76.66,94,100,0.16
184,Nyuksenitsa,RU,2022-09-20 16:09:18,60.4128,44.2397,48.81,92,100,15.1
185,Souillac,MU,2022-09-20 16:09:19,-20.5167,57.5167,70.18,88,75,12.66
186,Zyryanka,RU,2022-09-20 16:09:19,65.75,150.85,36.21,98,100,11.5
187,Mount Isa,AU,2022-09-20 16:09:20,-20.7333,139.5,71.37,88,75,12.66
188,Caravelas,BR,2022-09-20 16:09:20,-17.7125,-39.2481,78.73,60,94,8.7
189,Yeppoon,AU,2022-09-20 16:09:20,-23.1333,150.7333,69.58,94,17,10.2
190,Challapata,BO,2022-09-20 16:09:21,-18.9,-66.7667,57.27,16,0,15.1
191,Yeniseysk,RU,2022-09-20 16:09:21,58.4497,92.1703,42.15,86,72,9.55
192,Kochki,RU,2022-09-20 16:09:22,54.3358,80.4806,54.61,77,56,5.66
193,Pevek,RU,2022-09-20 16:09:22,69.7008,170.3133,33.21,70,2,11.01
194,Luderitz,NA,2022-09-20 16:09:22,-26.6481,15.1594,66.34,45,0,12.95
195,Grinnell,US,2022-09-20 16:09:23,41.743,-92.7224,87.78,55,0,12.66
196,Kerema,PG,2022-09-20 16:09:23,-7.9631,145.7785,77.65,88,91,7.11
197,Nantucket,US,2022-09-20 16:05:16,41.2835,-70.0995,69.94,64,100,11.5
198,Zalantun,CN,2022-09-20 16:09:23,48.0,122.7167,48.31,39,84,4.47
199,Chara,RU,2022-09-20 16:09:24,56.9064,118.2631,35.58,82,50,4.03
200,Waw,SS,2022-09-20 16:09:24,7.7029,27.9953,79.86,75,70,3.13
201,Nouadhibou,MR,2022-09-20 16:09:24,20.931,-17.0347,74.73,79,14,24.14
202,Sorrento,IT,2022-09-20 16:09:25,40.626,14.3744,79.11,78,56,5.88
203,Zemio,CF,2022-09-20 16:09:25,5.0314,25.1361,74.95,88,29,2.84
204,Port Hedland,AU,2022-09-20 16:09:26,-20.3167,118.5667,62.65,82,1,5.75
205,Kahului,US,2022-09-20 16:07:53,20.8947,-156.47,78.84,71,20,12.66
206,Quatre Cocos,MU,2022-09-20 16:09:26,-20.2078,57.7625,71.1,83,54,18.25
207,Vestmannaeyjar,IS,2022-09-20 16:09:26,63.4427,-20.2734,54.59,94,100,20.71
208,Coahuayana,MX,2022-09-20 16:09:27,18.7333,-103.6833,79.9,83,99,1.16
209,Ko Samui,TH,2022-09-20 16:09:27,9.5357,99.9357,82.89,72,100,13.71
210,Maniitsoq,GL,2022-09-20 16:09:27,65.4167,-52.9,39.02,85,100,6.26
211,Kavieng,PG,2022-09-20 16:09:28,-2.5744,150.7967,80.82,80,99,10.47
212,Ajdabiya,LY,2022-09-20 16:09:28,30.7554,20.2263,92.75,23,1,4.99
213,Zhanaozen,KZ,2022-09-20 16:09:28,43.3,52.8,77.43,15,0,10.27
214,Faanui,PF,2022-09-20 16:09:29,-16.4833,-151.75,77.72,74,8,14.67
215,Nakhon Thai,TH,2022-09-20 16:09:29,17.1006,100.8374,75.0,96,100,1.07
216,Korla,CN,2022-09-20 16:09:29,41.7597,86.1469,74.79,25,1,4.21
217,Cabedelo,BR,2022-09-20 16:09:30,-6.9811,-34.8339,84.87,63,40,14.92
218,Mega,ET,2022-09-20 16:09:30,4.05,38.3,67.6,47,83,6.4
219,Darhan,MN,2022-09-20 16:09:30,49.4867,105.9228,51.84,58,66,13.62
220,Dekar,BW,2022-09-20 16:09:31,-21.5333,21.9333,72.9,13,0,8.81
221,Sao Filipe,CV,2022-09-20 16:09:31,14.8961,-24.4956,79.09,76,44,9.64
222,Kargil,IN,2022-09-20 16:09:32,34.5667,76.1,53.2,55,94,4.18
223,Pak Phanang,TH,2022-09-20 16:09:32,8.3511,100.202,81.88,69,100,5.75
224,Coquimbo,CL,2022-09-20 16:09:33,-29.9533,-71.3436,58.73,58,40,11.5
225,Morondava,MG,2022-09-20 16:10:33,-20.2833,44.2833,76.77,78,0,13.49
226,Kushtagi,IN,2022-09-20 16:10:33,15.7667,76.2,74.05,71,100,14.07
227,Mudu,CN,2022-09-20 16:10:34,31.252,120.5118,64.89,74,76,7.07
228,Aracaju,BR,2022-09-20 16:10:34,-10.9111,-37.0717,82.35,61,20,10.36
229,Chiman,PK,2022-09-20 16:10:34,32.5463,73.8138,82.04,63,23,5.37
230,Evensk,RU,2022-09-20 16:10:35,61.95,159.2333,46.38,93,100,8.28
231,Anadyr,RU,2022-09-20 16:10:35,64.75,177.4833,36.1,86,0,8.95
232,Papara,BR,2022-09-20 16:10:35,-3.9839,-38.7273,86.4,27,76,9.13
233,Constitucion,CL,2022-09-20 16:10:36,-35.3333,-72.4167,53.19,61,8,10.49
234,Chumikan,RU,2022-09-20 16:10:36,54.7183,135.315,37.42,65,1,16.75
235,Kuandian,CN,2022-09-20 16:10:36,40.7286,124.7847,43.45,63,0,3.58
236,Semenivka,UA,2022-09-20 16:10:37,52.1783,32.5818,52.34,72,97,5.48
237,Mandurah,AU,2022-09-20 16:10:37,-32.55,115.7,60.91,72,2,13.33
238,Pangnirtung,CA,2022-09-20 16:10:37,66.1451,-65.7125,36.81,70,23,6.38
239,Marsabit,KE,2022-09-20 16:10:37,2.3284,37.9899,76.01,36,33,16.51
240,Iracoubo,GF,2022-09-20 16:10:38,5.4802,-53.2011,84.69,71,75,10.92
241,Salalah,OM,2022-09-20 16:10:02,17.0151,54.0924,80.69,89,75,10.36
242,Broome,US,2022-09-20 16:10:38,42.2506,-75.833,67.69,82,100,6.91
243,Alofi,NU,2022-09-20 16:10:38,-19.0595,-169.9187,75.88,77,6,25.66
244,Marawi,PH,2022-09-20 16:10:07,7.9986,124.2928,70.16,94,100,1.14
245,Georgetown,MY,2022-09-20 16:10:39,5.4112,100.3354,82.33,89,20,0.0
246,Upernavik,GL,2022-09-20 16:09:47,72.7868,-56.1549,33.1,92,96,3.09
247,Bay Village,US,2022-09-20 16:05:56,41.4848,-81.9221,78.78,61,75,4.61
248,Fairbanks,US,2022-09-20 16:07:44,64.8378,-147.7164,44.56,92,100,9.22
249,Bambous Virieux,MU,2022-09-20 16:10:40,-20.3428,57.7575,71.22,88,75,12.66
250,Grand Gaube,MU,2022-09-20 16:05:56,-20.0064,57.6608,71.38,76,10,10.0
251,Ambon,ID,2022-09-20 16:10:40,-3.6954,128.1814,78.24,15,20,8.05
252,Doka,SD,2022-09-20 16:10:41,13.5167,35.7667,77.0,83,95,5.5
253,Boyolangu,ID,2022-09-20 16:10:41,-8.1181,111.8935,75.02,88,100,5.37
254,Gweta,BW,2022-09-20 16:10:41,-20.1833,25.2333,78.51,12,3,7.92
255,Maneadero,MX,2022-09-20 16:10:42,31.7167,-116.5667,69.1,85,0,1.01
256,Chicama,PE,2022-09-20 16:10:42,-7.8447,-79.1469,59.54,63,50,9.71
257,Lander,US,2022-09-20 16:10:42,42.833,-108.7307,73.99,17,0,2.57
258,Vila Velha,BR,2022-09-20 16:10:43,-20.3297,-40.2925,85.95,59,0,15.01
259,Kanigiri,IN,2022-09-20 16:10:43,15.4,79.5167,83.59,60,100,5.93
260,Ranot,TH,2022-09-20 16:10:43,7.7777,100.3213,82.49,68,100,9.04
261,Bonthe,SL,2022-09-20 16:10:44,7.5264,-12.505,80.74,73,99,10.8
262,Lagos,NG,2022-09-20 16:06:11,6.5833,3.75,81.37,73,50,7.43
263,Flinders,AU,2022-09-20 16:10:44,-34.5833,150.8552,49.24,90,100,6.33
264,Kavaratti,IN,2022-09-20 16:10:44,10.5669,72.642,81.32,77,95,14.0
265,Hofn,IS,2022-09-20 16:10:45,64.2539,-15.2082,52.09,89,54,13.87
266,Xianyang,CN,2022-09-20 16:10:45,34.3378,108.7026,60.31,80,100,2.46
267,Kabansk,RU,2022-09-20 16:10:45,52.0486,106.6528,47.75,84,97,13.82
268,Gigmoto,PH,2022-09-20 16:10:46,13.7796,124.39,77.52,91,100,5.61
269,Orlik,RU,2022-09-20 16:10:46,52.5178,99.825,34.93,84,45,4.68
270,Doctor Arroyo,MX,2022-09-20 16:10:46,23.6667,-100.1833,69.35,57,30,1.9
271,Codrington,AU,2022-09-20 16:10:46,-38.2667,141.9667,56.05,61,100,4.41
272,Odlabari,IN,2022-09-20 16:10:47,26.8333,88.6167,78.12,91,95,3.8
273,Taitung,TW,2022-09-20 16:11:47,22.7583,121.1444,77.22,80,100,11.01
274,Namibe,AO,2022-09-20 16:11:47,-15.1961,12.1522,66.72,75,5,8.41
275,Churapcha,RU,2022-09-20 16:11:48,62.0025,132.4325,25.18,83,1,8.52
276,Palu,ID,2022-09-20 16:11:48,-0.8917,119.8707,75.31,95,100,1.88
