City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
618,Baghmara,IN,75.49,scattered clouds,23.795,86.2085,Shankar tea shop
626,Napasar,IN,85.64,few clouds,27.9667,73.55,Laxmi Palace
627,Abnub,EG,79.3,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
629,Edd,ER,88.3,overcast clouds,13.9297,41.6925,
636,Crateus,BR,83.79,broken clouds,-5.1783,-40.6775,Orient Plaza Hotel
637,Arecibo,PR,85.28,broken clouds,18.4724,-66.7157,Atlantic Sand Oasis
638,Laguna,US,79.32,scattered clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
639,Mumford,GH,75.16,broken clouds,5.2618,-0.759,Spanish Villa
640,Amapa,BR,77.63,overcast clouds,1.0,-52.0,
641,Pio Xii,BR,85.32,overcast clouds,-3.8325,-45.1525,BACURI DOS QUARESMAS
644,Pombas,CV,76.28,broken clouds,17.1503,-25.0201,Paul Paradis
646,Pundaguitan,PH,83.21,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
652,Tahoua,NE,85.57,few clouds,14.8888,5.2692,Bungalows Guesthouse
654,San Ramon,US,78.93,broken clouds,37.7799,-121.978,San Ramon Marriott
656,Lazaro Cardenas,MX,79.7,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
657,Majene,ID,75.76,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
658,Iralaya,HN,84.04,scattered clouds,15.0,-83.2333,Iglesia morava renovada
659,Luis Correia,BR,82.4,broken clouds,-2.8792,-41.6669,Hotel Amarração
667,Ashland,US,77.97,broken clouds,40.8167,-82.2665,SureStay
668,Aquiraz,BR,80.19,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
